title,combined
When the Cat's Away,pari cat garanceclavel zinedinesoualem renéelecalm cédricklapisch comedy
Contempt,lovetriangl itali filmbusi brigittebardot michelpiccoli jackpalance jean-lucgodard drama
Face/Off,undercov mexicanstandoff biologicalweapon johntravolta nicolascage joanallen johnwoo action crime sciencefiction
Fall,poetri nuditi supermodel francieswift joseyenque josipkuchan ericschaeffer drama romance
Gabbeh,elderlycoupl rug shaghayehdjodat abbassayah hosseinmoharami mohsenmakhmalbaf drama mystery romance
Mondo,ovidiubalan philippepetit pierrettefesch tonygatlif drama
The Innocent Sleep,wit polic report rupertgraves annabellasciorra michaelgambon scottmichell thriller
For Ever Mozart,madeleineassas ghalialacroix bérangèreallaux jean-lucgodard drama comedy war
Men in Black,secretident sunglass undercov tommyleejones willsmith lindafiorentino barrysonnenfeld action adventure comedy
Out to Sea,cruiseship widow womandirector jacklemmon waltermatthau dyancannon marthacoolidge comedy romance
Wild America,anim naturalist jonathantaylorthomas scottbairstow devonsawa williamdear family
A Simple Wish,magic wish kid martinshort kathleenturner marawilson michaelritchie adventure comedy family
Contact,basedonnovel nasa newmexico jodiefoster matthewmcconaughey jameswoods robertzemeckis drama sciencefiction mystery
Love Serenade,womandirector mirandaotto rebeccafrith georgeshevtsov shirleybarrett comedy foreign romance
G.I. Jane,poem middleeast helicopt demimoore viggomortensen annebancroft ridleyscott action drama
Conan the Barbarian,gladiat repay despot arnoldschwarzenegger jamesearljones maxvonsydow johnmilius adventure fantasy action
George of the Jungle,africa sanfrancisco gorilla brendanfraser lesliemann thomashadenchurch samweisman adventure comedy family
Cop Land,corrupt newjersey handcuff sylvesterstallone harveykeitel rayliotta jamesmangold action crime drama
Event Horizon,spacemarin nuditi nightmar laurencefishburne samneill kathleenquinlan paulw.s.anderson horror sciencefiction mystery
Spawn,antihero secretag fistfight michaeljaiwhite martinsheen johnleguizamo marka.z.dippé action adventure fantasy
Air Bud,clown goldenretriev dogactor kevinzegers wendymakkena michaeljeter charlesmartinsmith comedy family drama
Picture Perfect,fire hero lie jenniferaniston jaymohr kevinbacon glenngordoncaron comedy romance
In the Company of Men,offic love independentfilm aaroneckhart stacyedwards mattmalloy neillabute comedy drama
Free Willy 3: The Rescue,ship whale friend jasonjamesrichter augustschellenberg anniecorley sampillsbury adventure
Career Girls,colleg reunion reunitedfriend katrincartlidge lyndasteadman katebyers mikeleigh drama
Conspiracy Theory,newyork cia helicopt melgibson juliaroberts patrickstewart richarddonner action drama mystery
Desperate Measures,donat paranoia terminalil michaelkeaton andygarcía briancox barbetschroeder action drama thriller
Steel,dccomic losangel soldier shaquilleo'neal annabethgish richardroundtree kennethjohnson sciencefiction action adventure
She's So Lovely,independentfilm seanpenn robinwright johntravolta nickcassavetes drama romance thriller
Hoodlum,dutch blood mobster laurencefishburne timroth vanessawilliams billduke crime drama
Leave it to Beaver,kidsandfamili basedontvseri christophermcdonald janineturner cameronfinley andycadiff adventure comedy drama
Mimic,experi mutat cockroach mirasorvino jeremynortham giancarlogiannini guillermodeltoro fantasy horror thriller
Money Talks,prison diamant liberationofprison christucker charliesheen heatherlocklear brettratner action adventure comedy
Excess Baggage,trunk attemptedkidnap aliciasilverstone beniciodeltoro christopherwalken marcobrambilla action comedy romance
Kull the Conqueror,sword planetaryconfigur swordfight kevinsorbo tiacarrere thomasiangriffith johnnicolella adventure fantasy action
Air Force One,prison corrupt journalist harrisonford garyoldman glennclose wolfgangpetersen action thriller
One Eight Seven,newyork highschool teacher samuell.jackson johnheard kellyrowan kevinreynolds drama thriller
The Hunt for Red October,submarin coldwar russian alecbaldwin seanconnery scottglenn johnmctiernan action adventure thriller
My Own Private Idaho,individu gay fathersonrelationship riverphoenix keanureeves jamesrusso gusvansant drama romance
"Kiss Me, Guido",gay independentfilm unlikelyfriendship nickscotti anthonybarrile anthonydesando tonyvitale comedy
Star Maps,douglasspain efrainfigueroa kandeycejorden miguelarteta comedy drama
In & Out,gay homophobia comingout kevinkline joancusack tomselleck frankoz comedy romance
The Edge,photograph grizzlybear wilder alecbaldwin anthonyhopkins ellemacpherson leetamahori action adventure drama
The Peacemaker,helicopt terrorist nuclearmissil georgeclooney nicolekidman marceliureș mimileder action thriller
L.A. Confidential,corrupt detect shotgun kevinspacey guypearce dannydevito curtishanson crime drama mystery
Seven Years in Tibet,buddhism himalaya austria bradpitt jamyangjamtshowangchuk davidthewlis jean-jacquesannaud adventure drama history
Kiss the Girls,washingtond.c. coveredinvestig investig morganfreeman ashleyjudd caryelwes garyfleder drama mystery thriller
Soul Food,"sister familyrelationship uniti vivicaa.fox nialong michaelbeach georgetillman,jr. comedy drama"
Kicked in the Head,kevincorrigan lindafiorentino michaelrapaport matthewharrison comedy crime drama
Wishmaster,fire menac wish andrewdivoff tammylauren robertenglund robertkurtzman horror
A Thousand Acres,tragedi famili womandirector michellepfeiffer jessicalange jasonrobards jocelynmoorhouse drama
The Game,brotherbrotherrelationship birthday dangeroflif michaeldouglas seanpenn deborahkaraunger davidfincher drama thriller mystery
Fire Down Below,sheriff toxic church stevenseagal marghelgenberger stephenlang félixenríquezalcalá action adventure crime
U Turn,carbreakdown wilder kiss seanpenn nicknolte jenniferlopez oliverstone thriller
The Locusts,katecapshaw jeremydavies ashleyjudd johnpatrickkelley drama romance
The Matchmaker,irish-american electioncampaign makeamatch janeanegarofalo davido'hara denisleary markjoffe comedy romance
The Assignment,terrorist navaloffic aidanquinn donaldsutherland benkingsley christianduguay thriller action crime
A Smile Like Yours,gregkinnear laurenholly joancusack keithsamples comedy romance
Ulee's Gold,fathersonrelationship florida stolenmoney peterfonda patriciarichardson christinedunford victornunez drama
The Ice Storm,basedonnovel 1970s thanksgiv kevinkline joanallen sigourneyweaver anglee drama
Stag,stripper stagnight death mariovanpeebles jerrystiller kevindillon gavinwilding thriller
Chasing Amy,newjersey comingout loveofone'slif benaffleck joeylaurenadams jasonlee kevinsmith comedy drama romance
Def Jam's How to Be a Player,sex parti friend billbellamy larkvoorhies berniemac lionelc.martin comedy romance
The Full Monty,suicideattempt stripteas steelwork robertcarlyle markaddy williamsnape petercattaneo comedy
Alive and Kicking,independentfilm gayinterest gayman jasonflemyng antonysher dorothytutin nancymeckler comedy drama
Mrs Brown,england assassin queen judidench billyconnolly geoffreypalmer johnmadden drama history romance
I Know What You Did Last Summer,secret blackmail fisherman jenniferlovehewitt sarahmichellegellar ryanphillippe jimgillespie horror thriller mystery
The Devil's Advocate,childabus southernusa obsess keanureeves alpacino charlizetheron taylorhackford drama horror mystery
RocketMan,astronaut chimpanze harlandwilliams jessicalundy williamsadler stuartgillard comedy family sciencefiction
Playing God,fbi gangwar surgeon davidduchovny timothyhutton angelinajolie andywilson drama action thriller
The House of Yes,whitehous johnf.kennedi basedonplayormus parkerposey joshhamilton torispelling markwaters comedy drama
"Fast, Cheap & Out of Control",circus lion eccentr davehoover georgemendonça raymonda.mendez errolmorris documentary
Washington Square,womandirector jenniferjasonleigh albertfinney maggiesmith agnieszkaholland drama romance
Telling Lies In America,radio money radiodj kevinbacon bradrenfro maximilianschell guyferland music drama
Year of the Horse,interview tribut rockmus neilyoung franksampedo billytalbot jimjarmusch documentary music
Gattaca,parapleg suicideattempt cheat ethanhawke judelaw gorevidal andrewniccol thriller sciencefiction mystery
FairyTale: A True Story,fairi fairytal melgibson harveykeitel petero'toole charlessturridge fantasy drama mystery
Phantoms,sheriff ruralset losangel benaffleck petero'toole rosemcgowan joechappelle horror sciencefiction thriller
Swept from the Sea,underdog sea wale rachelweisz vincentpérez ianmckellen beebankidron drama romance
Wonderland,billgriffith johno'hagan documentary
A Life Less Ordinary,angel sex robberi ewanmcgregor camerondiaz hollyhunter dannyboyle fantasy drama comedy
Hurricane Streets,prison newmexico smuggl brendansextoniii antoinemclean mtumegant morganj.freeman romance crime drama
Eve's Bayou,sistersisterrelationship menstruat superstit jurneesmollett meagangood lynnwhitfield kasilemmons drama
Switchback,lossofson serialkil train dennisquaid dannyglover r.leeermey jebstuart action adventure mystery
Gang Related,detect surgeon stripper jimbelushi tupacamarushakur lelarochon jimkouf action drama
Stripes,date ex-girlfriend u.s.armi billmurray haroldramis warrenoates ivanreitman action comedy
Nenette and Boni,womandirector grégoirecolin alicehouri jacquesnolot clairedenis drama
Bean,pari londonengland california rowanatkinson petermacnicol johnmills melsmith comedy
Hugo Pool,danc victim love alyssamilano markboonejunior malcolmmcdowell robertdowneysr. comedy romance
Mad City,journalist museum hostagedrama johntravolta dustinhoffman miakirshner costa-gavras action drama thriller
One Night Stand,aid cheat one-nightstand wesleysnipes nastassjakinski kylemaclachlan mikefiggis drama
The Tango Lesson,dancer danc tango sallypotter morganemaugran pabloverón sallypotter drama music romance
Welcome to Sarajevo,england civilwar journalist stephendillane woodyharrelson marisatomei michaelwinterbottom war drama history
Deceiver,prostitut secret murder timroth michaelrooker renéezellweger joshpate mystery crime drama
The Rainmaker,juror proof courtcas mattdamon dannydevito jonvoight francisfordcoppola drama crime thriller
Boogie Nights,pornographi sex pornactor markwahlberg burtreynolds johnc.reilly paulthomasanderson drama
Witness,corrupt detect policebrut harrisonford kellymcgillis josefsommer peterweir crime drama romance
Incognito,rembrandt suspens art jasonpatric irènejacob ianrichardson johnbadham crime thriller
Starship Troopers,moon asteroid spacemarin caspervandien dinameyer deniserichards paulverhoeven adventure action thriller
Critical Care,nun satir hospit jamesspader kyrasedgwick helenmirren sidneylumet comedy drama
The Joy Luck Club,basedonnovel motherdaughterrelationship chines ming-nawen laurentom tamlyntomita waynewang drama
Chairman of the Board,inventor invent scandal scott'carrottop'thompson courtneythorne-smith larrymiller alexzamm comedy
Sliding Doors,doublelif commerci fantasi gwynethpaltrow johnhannah johnlynch peterhowitt comedy drama fantasy
Mortal Kombat: Annihilation,martialart author tournament robinshou talisasoto jamesremar johnr.leonetti action fantasy sciencefiction
The Truman Show,claustrophobia hiddencamera dystopia jimcarrey lauralinney noahemmerich peterweir comedy drama
The Wings of the Dove,independentfilm britishhighsocieti privilegedlif helenabonhamcarter alisonelliott elizabethmcgovern iainsoftley drama romance
Mrs. Dalloway,femalenud flower impal vanessaredgrave nataschamcelhone michaelkitchen marleengorris drama romance
"I Love You, I Love You Not",clairedanes judelaw jeannemoreau billyhopkins drama family romance
Red Corner,china deathpenalti law richardgere bailing bradleywhitford jonavnet crime drama thriller
The Jackal,fbi coldwar hitman brucewillis richardgere sidneypoitier michaelcaton-jones action thriller adventure
Anastasia,tzar music russianrevolut megryan johncusack christopherlloyd garygoldman animation family
The Man Who Knew Too Little,londonengland bomb brotherbrotherrelationship billmurray petergallagher joannewhalley jonamiel comedy thriller crime
Alien: Resurrection,android mercenari dystopia sigourneyweaver winonaryder braddourif jean-pierrejeunet sciencefiction horror action
Alien Escape,femalenud mutant cabin gailharris bernievandeyacht heatherford scottharris horror sciencefiction
Amistad,cuba mutini slaveri morganfreeman nigelhawthorne anthonyhopkins stevenspielberg drama history mystery
The Apostle,christian coma jealousi robertduvall billybobthornton junecartercash robertduvall drama
Artemisia,painter womandirector eroticmovi valentinacervi michelserrault predrag'miki'manojlović agnèsmerlet drama history
Bent,nazi concentrationcampprison independentfilm cliveowen lothairebluteau ianmckellen seanmathias drama history romance
Bang,gang audit policefak darlingnarita petergreene michaelnewland ashbaron-cohen drama
The Boys,icehockey marcmessier rémygirard patrickhuard louissaïa comedy
The Butcher Boy,suicid angel difficultchildhood eamonnowens alanboyle fionashaw neiljordan comedy drama
Deconstructing Harry,newyork writer'sblock insan woodyallen kirstiealley billycrystal woodyallen comedy drama
Flubber,weddingvow inventor slime robinwilliams marciagayharden christophermcdonald lesmayfield comedy family sciencefiction
For Richer or Poorer,newyork pennsylvania cheat timallen kirstiealley wayneknight bryanspicer comedy
Good Will Hunting,basebal boston professor robinwilliams mattdamon benaffleck gusvansant drama
Guy,vincentd'onofrio hopedavis michaellindsay-hogg
Tar,
Home Alone 3,parentchildrelationship burglar childhero alexd.linz olekkrupa ryakihlstedt rajagosnell comedy family
Man of Her Dreams,psychopath williamr.moses lysetteanthony patrickcassidy martinkitrosser horror drama
Midnight in the Garden of Good and Evil,dragqueen voodoo savannah johncusack kevinspacey judelaw clinteastwood crime drama mystery
MouseHunt,brotherbrotherrelationship lossoffath mous nathanlane leeevans vickilewis goreverbinski comedy family
Never Met Picasso,
Office Killer,womandirector carolkane mollyringwald jeannetripplehorn cindysherman comedy horror thriller
Scream 2,filmfestiv slaughter slasher davidarquette nevecampbell courteneycox wescraven horror mystery
Stranger in the House,burglari jewel insuranceinvestig michelegreene brucedinsmore steverailsback rodneygibbons thriller
The Sweet Hereafter,canada suffer villag ianholm caerthanbanks sarahpolley atomegoyan drama
Time Tracers,timetravel alien dinosaur rockypatterson dorendamoore tylermason bretmccormick sciencefiction
Titanic,shipwreck iceberg ship katewinslet leonardodicaprio francesfisher jamescameron drama romance thriller
Tomorrow Never Dies,londonengland england spi piercebrosnan jonathanpryce michelleyeoh rogerspottiswoode adventure action thriller
Twisted,independentfilm rayaranha keivynmcneillgrayes eliseballard sethmichaeldonsky drama
Full Speed,adolesc comingout vorort élodiebouchez stéphanerideau pascalcervo gaëlmorel romance drama
The Education of Little Tree,josephashton jamescromwell tantoocardinal richardfriedenberg drama
The Horse Whisperer,lovetriangl newyork montana robertredford kristinscottthomas samneill robertredford drama romance
The Winter Guest,independentfilm emmathompson phyllidalaw sheilareid alanrickman drama
Jackie Brown,airport underworld armsdeal pamgrier samuell.jackson robertforster quentintarantino comedy crime romance
Kundun,buddhism china mountain tenzinthuthobtsarong tenchogyalpo tsewangmigyurkhangsar martinscorsese drama
Mr. Magoo,lie bluff basedoncartoon leslienielsen kellylynch mattkeeslar stanleytong comedy family
The Big Lebowski,whiterussian dude bowl jeffbridges johngoodman juliannemoore joelcoen comedy crime
Afterglow,nicknolte juliechristie laraflynnboyle alanrudolph drama romance comedy
My Life in Pink,transvest gay belgium michèlelaroque jean-philippeécoffey hélènevincent alainberliner drama comedy
Great Expectations,artist artists'lif childhoodmemori gwynethpaltrow ethanhawke chriscooper alfonsocuarón comedy drama romance
3 Ninjas: High Noon at Mega Mountain,hostag hero rivalri victorwong mathewbotuchis hulkhogan seanmcnamara action comedy family
Men of Means,mafia mobster brooklynnewyorkc michaelparé kaeladobkin austinpendleton georgemendeluk drama action
Caught Up,murder betray diamond bokeemwoodbine cyndawilliams damonsaleem darinscott drama thriller crime
Arguing the World,josephdorman
Firestorm,prison fire firemen howielong scottglenn suzyamis deansemler action adventure thriller
Senseless,blindnessandimpairedvis womandirector marlonwayans davidspade matthewlillard penelopespheeris comedy romance
Wag the Dog,washingtond.c. rape cia dustinhoffman robertdeniro anneheche barrylevinson comedy drama
Dark City,soul sleep manipul rufussewell williamhurt kiefersutherland alexproyas mystery sciencefiction
The Leading Man,seduct cheatinghusband rehears jonbonjovi annagaliena lambertwilson johnduigan thriller drama romance
Star Kid,meteor superhero cybersuit josephmazzello richardgilliland corinnebohrer mannycoto action adventure family
Hard Rain,sheriff rain evacu morganfreeman christianslater randyquaid mikaelsalomon thriller
Half Baked,smoke compani marijuana davechappelle tommychong harlandwilliams tamradavis comedy crime
Fallen,angel riddl detect denzelwashington johngoodman donaldsutherland gregoryhoblit thriller fantasy crime
Shooting Fish,londonengland nightclub chase danfutterman stuarttownsend katebeckinsale stefanschwartz crime comedy romance
The Prophecy II,angel monk autopsi christopherwalken jenniferbeals brittanymurphy gregspence fantasy horror thriller
Fallen Angels,gambl assassin bar leonlai michellereis takeshikaneshiro wongkar-wai drama action romance
Four Days in September,assassin brazilian ambassador alanarkin pedrocardoso fernandatorres brunobarreto action drama foreign
Spice World,pop popcultur popstar victoriabeckham melaniebrown emmabunton bobspiers adventure fantasy drama
Deep Rising,oceanlin seamonst jewelheist treatwilliams famkejanssen anthonyheald stephensommers adventure action horror
Tainted,jasonbrouwer t.j.timon brianevans thriller comedy
A Letter from Death Row,bretmichaels martinsheen kristigibson bretmichaels drama crime mystery
Music from Another Room,independentfilm judelaw jennifertilly gretchenmol charliepeters comedy drama romance
Mother and Son,mothersonrelationship alekseiananishnov gudrungeyer alexandersokurov drama
The Replacement Killers,usa china assaultrifl chowyun-fat mirasorvino michaelrooker antoinefuqua action drama crime
B. Monkey,londonengland robberi doublelif asiaargento jaredharris ruperteverett michaelradford romance crime drama
The Night Flier,journalist airport vampir miguelferrer julieentwisle danmonahan markpavia mystery horror fantasy
Blues Brothers 2000,prison blue half-broth danaykroyd johngoodman joemorton johnlandis music action comedy
Tokyo Fist,independentfilm shinyatsukamoto kaorifujii kôjitsukamoto shinyatsukamoto romance action drama
Ride,miami busrid roadtrip malikyoba melissadesousa johnwitherspoon millicentshelton comedy
The Wedding Singer,weddingvow marriagepropos loveofone'slif adamsandler drewbarrymore christinetaylor frankcoraci romance comedy
Sphere,ocean extraterrestrialtechnolog spacemarin dustinhoffman sharonstone samuell.jackson barrylevinson sciencefiction
Ayn Rand: A Sense of Life,michaelpaxton documentary
A Further Gesture,stephenrea brendangleeson alfredmolina robertdornhelm drama thriller romance
Little City,jonbonjovi penelopeannmiller annabellasciorra robertobenabib comedy romance
Palmetto,sex kidnap scam woodyharrelson ginagershon elisabethshue volkerschlöndorff mystery thriller drama
As Good as It Gets,singlepar waitress lonewolf jacknicholson helenhunt gregkinnear jamesl.brooks comedy romance
King of New York,malenud femalenud violenc christopherwalken davidcaruso laurencefishburne abelferrara thriller crime
A Paralyzing Fear: The Story of Polio in America, documentary
Men with Guns,womandirector donallogue maxperlich paulsorvino kariskogland drama crime
Twilight,ex-cop retir paulnewman susansarandon genehackman robertbenton drama crime mystery
U.S. Marshals,cia transportofprison innoc tommyleejones wesleysnipes robertdowneyjr. stuartbaird thriller crime action
Welcome to Woop Woop,australian australia conartist johnathonschaech rodtaylor susieporter stephanelliott music comedy fantasy
Love and Death on Long Island,obsess love obsessivelov johnhurt jasonpriestley sheilahancock richardkwietniowski drama romance foreign
Midaq Alley,malenud mexico prostitut ernestogómezcruz maríarojo salmahayek jorgefons drama
In God's Hands,surfer wave surfboard patrickshanedorian mattgeorge mattyliu zalmanking adventure
Everest,climb imax mountainclimb liamneeson edviesturs davidbreashears davidbreashears adventure documentary
Hush,hors farm fall jessicalange gwynethpaltrow johnathonschaech jonathandarby drama thriller
Suicide Kings,ransom hostag kidnap christopherwalken henrythomas seanpatrickflanery petero'fallon action comedy crime
The Man in the Iron Mask,franc swordplay mask leonardodicaprio jeremyirons gérarddepardieu randallwallace action adventure drama
The Newton Boys,bankrobb crimespre westernu.s. matthewmcconaughey skeetulrich ethanhawke richardlinklater crime action drama
Wild Things,upperclass poison sailboat mattdillon kevinbacon deniserichards johnmcnaughton thriller
Paulie,parrot research thief genarowlands tonyshalhoub cheechmarin johnroberts comedy family
"A Cool, Dry Place",lovetriangl kansa singlefath vincevaughn monicapotter joeylaurenadams johnn.smith drama romance
Fireworks,gambl farewel sea takeshikitano kayokokishimoto renosugi takeshikitano crime drama
Primary Colors,whitehous usapresid presidentialelect johntravolta emmathompson billybobthornton mikenichols comedy drama
"Niagara, Niagara",pharmacist polic tourettesyndrom robintunney henrythomas michaelparks bobgosse drama romance
Wide Awake,boys'school denisleary josephcross rosieo'donnell m.nightshyamalan comedy drama family
A Price Above Rubies,independentfilm renéezellweger juliannamargulies christophereccleston boazyakin drama romance
Eden,housewif boardingschool teacher joannagoing dylanwalsh seanpatrickflanery howardgoldberg drama
Two Girls and a Guy,love reveng loft robertdowneyjr. natashagregsonwagner heathergraham jamestoback drama romance
No Looking Back,waitress smalltown oldflam laurenholly edwardburns jonbonjovi edwardburns drama comedy romance
Storefront Hitchcock,robynhitchcock jonathandemme documentary
The Proposition,parish steril priest kennethbranagh madeleinestowe williamhurt leslilinkaglatter drama romance
The Object of My Affection,blinddat love fallinginlov jenniferaniston paulrudd haydenpanettiere nicholashytner comedy drama romance
Meet the Deedles,paulwalker johnashton dennishopper steveboyum animation comedy family
Homegrown,billybobthornton hankazaria kellylynch stephengyllenhaal drama action comedy
The Players Club,stripclub stripper dominatrix lisarayemccoy dickanthonywilliams judyannelder icecube drama
Barney's Great Adventure,stevegomer family
The Big One,prison airport narrat michaelmoore elainebly jimczarnecki michaelmoore documentary
Chinese Box,independentfilm jeremyirons gongli maggiecheung waynewang drama romance
Lost in Space,timetravel sabotag deepspaceexplor garyoldman williamhurt mattleblanc stephenhopkins adventure family sciencefiction
Heaven's Burning,japanes bank hostag russellcrowe youkikudoh kenjiisomura craiglahiff drama action thriller
Mercury Rising,assassin lossoffamili autism brucewillis alecbaldwin mikohughes haroldbecker action crime drama
The Spanish Prisoner,dialogu confid invent stevemartin campbellscott bengazzara davidmamet crime drama mystery
City of Angels,suicid angel lifeanddeath nicolascage megryan andrebraugher bradsilberling drama fantasy romance
The Last Days of Disco,newyork sex dancer chloësevigny katebeckinsale chriseigeman whitstillman comedy drama romance
The Odd Couple II,roadtrip weddingd jacklemmon waltermatthau richardriehle howarddeutch adventure comedy
My Giant,tallman romania giant billycrystal kathleenquinlan joannapacula michaellehmann comedy drama family
He Got Game,prison fathersonrelationship homicid denzelwashington rayallen millajovovich spikelee drama
The Gingerbread Man,secret toshootdead daughter kennethbranagh embethdavidtz robertdowneyjr. robertaltman thriller
Illtown,michaelrapaport lilitaylor adamtrese nickgomez
Slappy and the Stinkers,kid sealion bdwong jennifercoolidge bronsonpinchot barnetkellman adventure family
Live Flesh,sexualobsess prostitut adulteri libertorabal francescaneri javierbardem pedroalmodóvar drama romance thriller
Zero Effect,detect blackmail independentfilm billpullman benstiller ryano'neal jakekasdan comedy crime mystery
Nil by Mouth,violenthusband underclass class raywinstone kathyburke charliecreed-miles garyoldman drama
Ratchet,screenwrit beach island tomgilroy margaretwelsh mitchelllichtenstein johnjohnson thriller
The Borrowers,dwarv household lawyer johngoodman jimbroadbent celiaimrie peterhewitt adventure fantasy action
Prince Valiant,sword princ camelot stephenmoyer katherineheigl thomaskretschmann anthonyhickox adventure fantasy
"I Love You, Don't Touch Me!",womandirector marlaschaffel mitchellwhitfield michaelharris juliedavis comedy romance
Leather Jacket Love Story,seantataryn christopherbradley geoffmoody daviddecoteau drama comedy romance
Love Walked In,denisleary terencestamp aitanasánchez-gijón juanjosécampanella drama thriller
Kissing a Fool,davidschwimmer jasonlee miliavital dougellin comedy romance
Krippendorf's Tribe,singlepar basedonnovel expedit richarddreyfuss jennaelfman zakesmokae toddholland comedy drama family
Kurt & Courtney,sing embryo livingunderthebridg nickbroomfield dylancarlson kurtcobain nickbroomfield documentary music
The Real Blonde,sex photograph nuditi matthewmodine catherinekeener darylhannah tomdicillo comedy drama romance
Mr. Nice Guy,journalist martialart cook jackiechan richardnorton mikilee sammohung crime action comedy
Taste of Cherry,muslim iraniannewwav homayounershadi abdolrahmanbagheri afshinkhorshidbakhtiari abbaskiarostami drama
Character,lawandeth jandecleir fedjavanhuêt bettyschuurman mikevandiem drama foreign history
Junk Mail,antihero falseident postman robertskjærstad andrinesæther peregilaske pålsletaune comedy thriller
Species II,washingtond.c. telepathi dna michaelmadsen natashahenstridge marghelgenberger petermedak sciencefiction action horror
Major League: Back to the Minors,basebal trainer baseballbat scottbakula corbinbernsen dennishaysbert johnwarren comedy
Sour Grapes,greed dollar jackpot stevenweber craigbierko violaharris larrydavid comedy
Wild Man Blues,jazz lover(female) paparazzi woodyallen lettyaronson soon-yiprevin barbarakopple music documentary
The Big Hit,bungee-jump darkcomedi cigarettesmok markwahlberg loudiamondphillips christinaapplegate kirkwong action adventure comedy
Tarzan and the Lost City,africa tarzan caspervandien janemarch stevenwaddington carlschenkel action adventure
Black Dog,fbi truck patrickswayze meatloaf randytravis kevinhooks action adventure thriller
"Dancer, Texas Pop. 81",smalltown texa breckinmeyer peterfacinelli eddiemills timmccanlies comedy drama family
A Friend of the Deceased,prostitut hitman translat aleksandrlazarevjr. anzhelikanevolina elenakorikova leonidboyko drama comedy
Go Now,robertcarlyle julietaubrey sophieokonedo michaelwinterbottom romance drama tvmovie
Les Misérables,falselyaccus prison blackmail liamneeson geoffreyrush umathurman billeaugust crime drama history
Still Breathing,dream lourawls brendanfraser joannagoing jamesf.robinson comedy drama romance
Clockwatchers,independentfilm womandirector tonicollette parkerposey lisakudrow jillsprecher comedy drama
Deep Impact,usapresid nasa metereologist robertduvall téaleoni elijahwood mimileder action drama romance
Little Men,rodneygibbons
Woo,"blinddat love manhattan,newyorkc jadapinkettsmith tommydavidson duanemartin daisyvonscherlermayer comedy romance"
The Hanging Garden,suicid canada novascotia ianparsons petermacneill chrisleavins thomfitzgerald drama
Lawn Dogs,sex infidel lawnmow mischabarton samrockwell christophermcdonald johnduigan drama
Quest for Camelot,jessalyngilsig caryelwes garyoldman frederikduchau fantasy animation drama
Godzilla,secret atomicbomb intellig matthewbroderick jeanreno mariapitillo rolandemmerich sciencefiction action thriller
Bulworth,missionofmurd polit electioncampaign warrenbeatty halleberry seanastin warrenbeatty comedy drama
Fear and Loathing in Las Vegas,gonzojournalist sweatyfac fakeident johnnydepp beniciodeltoro tobeymaguire terrygilliam adventure drama comedy
The Opposite of Sex,gay louisiana dyinganddeath christinaricci martindonovan lisakudrow donroos comedy drama
I Got the Hook Up,masterp anthonyjohnson icecube michaelmartin action comedy
Almost Heroes,fight braveri slapstick chrisfarley matthewperry bokeemwoodbine christopherguest action adventure comedy
Hope Floats,texa telegram despair sandrabullock harryconnickjr. genarowlands forestwhitaker drama romance
Insomnia,ruralset nordicnoir stellanskarsgård mariamathiesen sverreankerousdal erikskjoldbjærg crime drama thriller
Little Boy Blue,drama ryanphillippe nastassjakinski johnsavage antoniotibaldi drama thriller
The Ugly,psychoanalysi razor gore paolorotondo rebeccahobbs paulglover scottreynolds horror thriller
A Perfect Murder,jealousi blackmail artist michaeldouglas gwynethpaltrow viggomortensen andrewdavis crime thriller drama
Beyond Silence,berlin lossofmoth becominganadult sylvietestud tatjanatrieb howieseago carolinelink drama
Six Days Seven Nights,overleven familyguy harrisonford anneheche davidschwimmer ivanreitman action adventure comedy
Can't Hardly Wait,alcohol regret homophobia jenniferlovehewitt ethanembry charliekorsmo harryelfont comedy drama romance
Cousin Bette,courtesan love reveng jessicalange elisabethshue bobhoskins desmcanuff comedy drama romance
High Art,sex photograph nuditi radhamitchell gabrielmann allysheedy lisacholodenko drama romance
The Land Girls,catherinemccormack rachelweisz annafriel davidleland drama romance war
Passion in the Desert,egypt napoleon leopard bendaniels michelpiccoli laviniacurrier drama adventure
Children of Heaven,brothersisterrelationship class footrac mohammadamirnaji amirfarrokhhashemian bahareseddiqi majidmajidi drama comedy family
Dear Jesse,timkirkman
Dream for an Insomniac,danc sex jealousi ioneskye jenniferaniston mackenzieastin tiffaniedebartolo romance comedy drama
Hav Plenty,christopherscottcherot chenoamaxwell tammikatherinejones christopherscottcherot action comedy romance
Henry Fool,alcohol polit murder thomasjayryan jamesurbaniak parkerposey halhartley comedy drama
Marie from the Bay of Angels,franc teenagegirl montag vahinagiocante frédéricmalgras nicolaswelbers manuelpradal drama romance
Mr. Jealousy,jealousi substituteteach independentfilm ericstoltz annabellasciorra chriseigeman noahbaumbach comedy romance
Mulan,homeland music train ming-nawen leasalonga eddiemurphy tonybancroft animation family adventure
Resurrection Man,journalist murder ireland stuarttownsend johnhannah jamesnesbitt marcevans thriller crime drama
The X Files,bomb helicopt secret davidduchovny gilliananderson mitchpileggi robbowman mystery sciencefiction thriller
I Went Down,malenud hostag gangsterboss brendangleeson petermcdonald tonydoyle paddybreathnach action comedy crime
Doctor Dolittle,talkingtoanim womandirector eddiemurphy ossiedavis oliverplatt bettythomas comedy family fantasy
Out of Sight,journalist bedroom purs georgeclooney jenniferlopez vingrhames stevensoderbergh romance comedy crime
